192.168.31.127 - - [26/Sep/2018:11:44:55 +0800] "GET /activity/swagger/lib/lodash.min.js HTTP/1.1" 200 51894
192.168.31.127 - - [26/Sep/2018:11:44:55 +0800] "GET /activity/swagger/lib/jquery.ba-bbq.min.js HTTP/1.1" 200 3518
192.168.31.127 - - [26/Sep/2018:11:44:55 +0800] "GET /activity/swagger/lib/backbone-min.js HTTP/1.1" 200 19371
192.168.31.127 - - [26/Sep/2018:11:44:55 +0800] "GET /activity/swagger/lib/highlight.9.1.0.pack.js HTTP/1.1" 200 10962
192.168.31.127 - - [26/Sep/2018:11:44:55 +0800] "GET /activity/swagger/lib/highlight.9.1.0.pack_extended.js HTTP/1.1" 200 310
192.168.31.127 - - [26/Sep/2018:11:44:55 +0800] "GET /activity/swagger/lib/marked.js HTTP/1.1" 200 15724
192.168.31.127 - - [26/Sep/2018:11:44:55 +0800] "GET /activity/swagger/lib/jsoneditor.min.js HTTP/1.1" 200 129835
192.168.31.127 - - [26/Sep/2018:11:44:55 +0800] "GET /activity/swagger/lib/swagger-oauth.js HTTP/1.1" 200 7042
192.168.31.127 - - [26/Sep/2018:11:44:55 +0800] "GET /activity/swagger/css/print.css HTTP/1.1" 200 41666
192.168.31.127 - - [26/Sep/2018:11:44:55 +0800] "GET /activity/swagger/images/logo_small.png HTTP/1.1" 200 455
192.168.31.127 - - [26/Sep/2018:11:44:55 +0800] "GET /activity/swagger/swagger-ui.js HTTP/1.1" 200 990220
192.168.31.127 - - [26/Sep/2018:11:44:55 +0800] "GET /activity/api-docs HTTP/1.1" 200 444
192.168.31.127 - - [26/Sep/2018:11:44:55 +0800] "GET /activity/api-docs/default/member-controller HTTP/1.1" 200 3615
192.168.31.127 - - [26/Sep/2018:11:44:55 +0800] "GET /activity/api-docs/default/activity-controller HTTP/1.1" 200 14248
192.168.31.127 - - [26/Sep/2018:11:44:55 +0800] "GET /activity/swagger/images/favicon-32x32.png HTTP/1.1" 200 1141
192.168.31.127 - - [26/Sep/2018:11:44:55 +0800] "GET /activity/swagger/images/favicon-16x16.png HTTP/1.1" 200 445
192.168.31.127 - - [26/Sep/2018:11:45:04 +0800] "GET /activity/swagger/images/throbber.gif HTTP/1.1" 200 9257
192.168.31.28 - - [26/Sep/2018:14:18:38 +0800] "POST /activity/activity/friendsAward HTTP/1.1" 200 645
192.168.31.28 - - [26/Sep/2018:16:21:58 +0800] "POST /activity/activity/findActivitys HTTP/1.1" 200 209
